No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
,,,,,,,,,,,,,,,,,,,,,,1421.78,1421.596,1421.636,1421.619,1421.565,1421.504,1421.468,1421.362,1421.201,1421.119,1421.025,1420.954,1420.92,1420.895,1420.787,1420.844,1420.883,1420.878,1420.895,1420.581,1420.431,1420.151,1420.132,1420.122,1420.114,1419.624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
162,110840,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,14.52,14.38,14.35,11.45,11.45,11.45,10.05,4.73,4.62,0,13.04,13.24,13.34,13.67,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421.649,1421.542,1421.589,1421.559,1421.381,1421.37,1421.35,1421.278,1420.72,1420.706,1420.818,1419.799,1419.754,1419.792,1419.794,1419.456,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
163,110860,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.14,13.9,13.73,10.5,8.93,8.69,0,0.26,0.46,0.51,13.41,13.72,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421.385,1421.296,1421.305,1421.241,1421.16,1420.772,1420.801,1420.732,1420.496,1420.46,1420.464,1419.818,1419.749,1419.409,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
164,110880,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.99,15.86,15.86,11.75,11.69,11.43,11.19,10.19,4.7,0,6.14,7.96,8.23,17.16,17.89,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421.083,1420.972,1421.016,1420.988,1420.817,1420.823,1420.75,1420.79,1420.586,1420.088,1420.282,1419.544,1419.671,1419.626,1419.092,1419.086,1419.02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165,110893.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.88,15.87,15.75,13.73,11.86,3.63,0,3.12,3.32,3.47,3.8,7.97,12.7,19.53,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421.001,1420.967,1420.858,1420.923,1420.759,1420.637,1420.227,1420.203,1419.66,1419.663,1419.646,1419.629,1419.471,1419.201,1418.914,1418.905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
166,110900,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.78,15.87,15.7,14.67,11.94,0,0.75,1.25,2.4,5.09,6.03,9.63,10.91,13.72,15.19,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1421.017,1420.956,1420.767,1420.823,1420.754,1420.611,1420.258,1419.9,1419.87,1419.739,1419.579,1419.725,1419.52,1419.39,1419.232,1419.226,1418.883,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
167,110911.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.88,15.67,15.28,12.99,11.61,10.84,4.38,3.7,3.62,3.59,0,1.15,4.52,5.22,5.44,5.48,6.44,12.56,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.89,1420.718,1420.75,1420.79,1420.711,1420.613,1420.417,1419.876,1420.009,1420.017,1420.015,1420.089,1419.756,1419.594,1419.615,1419.538,1419.561,1419.563,1419.14,1418.822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168,110920,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.88,15.71,14.66,14.55,10.82,8.76,3.83,2.41,0,10.13,10.17,10.41,10.76,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.791,1420.658,1420.703,1420.803,1420.836,1420.817,1420.294,1420.11,1420.142,1420.212,1419.406,1419.455,1419.37,1419.393,1418.936,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,110939.85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.61,15.89,15.8,15.28,5.86,5.74,5.67,5.46,5.38,0,2.99,3.54,7.85,16.61,19.34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.643,1420.521,1420.44,1420.458,1420.527,1420.021,1419.979,1419.983,1419.998,1420.013,1419.866,1419.463,1419.424,1419.509,1419.072,1418.972,1418.946,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
170,110944.83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.92,15.89,15.83,15.43,7.9,6.7,5.55,5.35,0,0.75,3.09,7.26,7.27,7.28,9.96,12.08,14.05,18.01,18.1,18.25,18.39,20,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.525,1420.503,1420.403,1420.396,1420.435,1420.039,1419.945,1419.672,1419.71,1419.659,1419.35,1419.236,1419.127,1419.177,1419.126,1418.969,1418.872,1418.97,1419.036,1419.107,1418.981,1419.014,1418.838,,,,,,,,,,,,,,,,,,,,,,,,,,
171,110960,,,,,,,,,,,,,,,,,,,,,,,,,,20,19.43,15.96,15.96,15.9,15.85,15.83,15.81,11.48,11.45,7.78,5.05,2.37,0,4.01,4.05,10.01,16.26,16.27,16.3,19.37,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.462,1420.426,1420.243,1420.233,1420.242,1420.235,1420.286,1420.195,1420.113,1420.16,1419.925,1419.689,1419.744,1419.977,1419.494,1419.503,1419.194,1418.722,1418.712,1418.67,1418.638,1418.632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172,110980.74,,,,,,,,,,,,,,,,,,,,,,,,20,19.03,19,15.87,13.52,12.82,11.61,11.54,10.63,8.37,7.36,6.24,4.72,4.6,0.95,0,1.65,4.97,4.97,4.97,10.75,10.87,11,13.37,14.8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1420.319,1420.217,1420.281,1420.196,1419.802,1419.873,1419.851,1419.869,1419.755,1419.603,1419.56,1419.685,1419.467,1419.434,1419.219,1419.299,1418.83,1418.524,1418.494,1418.474,1418.438,1418.372,1418.353,1418.329,1418.286,1418.068,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
173,110986.34,,,,,,,,,,,,,,,,,,,,20,19.86,19.82,15.87,12.9,12.15,12.14,11.79,11.34,11.31,10.47,10.39,10.13,10.11,10.11,9.16,8.94,4.79,2.65,0,4.29,4.5,7.79,10.55,17.77,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1420.248,1420.232,1420.225,1420.16,1419.766,1419.799,1419.731,1419.83,1419.469,1419.543,1419.543,1419.443,1419.704,1419.628,1419.754,1419.457,1419.443,1418.969,1418.571,1418.665,1418.198,1418.12,1418.061,1417.976,1417.632,1417.546,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174,110991.15,,,,,,,,,,,,,,,,,,,,,,,,,20,15.86,12.36,12.19,12.09,12.03,11.5,11.42,9.24,8.26,5.8,3.89,1.76,1.66,0,0.48,0.65,5.04,11.05,11.89,12.08,12.14,13.02,13.15,13.33,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1420.238,1420.098,1419.605,1419.61,1419.662,1419.687,1419.415,1419.373,1419.41,1419.247,1419.05,1418.942,1418.761,1418.804,1419.016,1418.762,1418.725,1418.696,1418.602,1418.559,1418.494,1418.48,1418.41,1418.466,1418.464,1418.021,,,,,,,,,,,,,,,,,,,,,,,,,,,,
175,111000,,,,,,,,,,,,,,,,,,,,,,,,,20,15.85,12.76,11.37,11.33,11.27,10.04,9.57,9.55,7.83,7.81,4.78,3.25,3.04,0,0.67,4.07,4.11,4.11,4.98,16.01,16.48,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1420.197,1420.027,1419.647,1419.801,1419.846,1419.831,1419.574,1419.43,1419.469,1419.212,1419.177,1418.959,1419.184,1419.156,1419.23,1418.828,1418.727,1418.746,1418.686,1418.719,1418.237,1418.234,1418.025,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
176,111007.12,,,,,,,,,,,,,,,,,,,,,,,,,,20,15.85,13.29,12.07,11.01,10.83,10.6,8.6,6.82,6.36,5.29,4.75,3.93,0,0.66,1.26,2.14,7.94,8.91,9.36,16.78,19.95,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1420.104,1420.013,1419.694,1419.859,1419.895,1419.857,1419.876,1419.669,1419.429,1419.328,1419.16,1419.247,1419.137,1419.208,1418.925,1418.879,1418.913,1418.679,1418.723,1418.684,1418.137,1418.002,1418.05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
177,111013.87,,,,,,,,,,,,,,,,,,,,,,,,20,19.55,19.35,19.31,19.24,19.23,19.18,15.84,13.8,12.82,11.98,11.03,9.82,0.3,0.2,0,0.24,0.47,0.83,0.92,2.03,7.67,11.43,12.44,14,16.9,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1420.079,1420.098,1420.155,1420.077,1420.044,1420.107,1420.123,1420.012,1419.719,1419.857,1419.856,1419.934,1419.62,1419.135,1419.121,1419.356,1419.141,1419.051,1418.897,1418.89,1418.784,1418.614,1418.364,1418.474,1418.268,1417.846,1417.68,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178,111019.09,,,,,,,,,,,,,,,,,,,,,20,18.82,18.66,18.63,18.57,18.56,18.52,15.83,14.19,13.4,12.72,11.19,9.22,4.18,2.66,2.27,1.39,0.2,0,0.18,0.88,3.46,7.4,15.64,16.16,16.87,18.28,18.41,19.34,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1420.139,1420.112,1420.101,1420.064,1420.076,1420.028,1420.003,1420.008,1419.776,1419.823,1419.906,1419.91,1419.552,1419.259,1419.206,1419.137,1419.221,1419.076,1419.3,1418.949,1418.99,1418.765,1418.63,1418.209,1418.242,1418.216,1417.963,1417.97,1417.998,1417.971,,,,,,,,,,,,,,,,,,,,,,,,,,,,
179,111026.09,,,,,,,,,,,,,,20,17.85,17.74,17.72,17.68,17.68,17.65,15.83,14.71,14.18,13.72,11.61,11.59,11.41,11.35,10.86,10.84,10.73,8.54,8.41,5.55,5.22,3.57,3.48,0.98,0,0.62,0.75,5.77,6.99,7.04,7.15,10.85,15.94,16.03,19.98,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1420.109,1420.039,1420.041,1419.997,1419.935,1420.016,1420.02,1419.916,1419.792,1419.851,1419.877,1419.945,1419.869,1419.917,1419.874,1419.809,1419.838,1419.808,1419.359,1419.348,1419.329,1419.249,1419.46,1419.454,1419.138,1419.332,1419.078,1419.067,1418.722,1418.614,1418.621,1418.657,1418.511,1418.227,1418.217,1417.982,1418.06,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,111036.98,,,,,,,,,,,,,20,16.34,16.31,16.3,16.29,16.29,16.29,15.82,15.53,15.39,15.27,14.73,14.36,11.96,11.09,10.97,10.66,9.01,8.5,7.16,6.49,2.84,2.54,1.18,0.87,0.67,0,3.32,4.49,8.91,9.79,9.82,9.88,13.54,14.74,19.44,19.8,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,1419.997,1419.861,1419.88,1419.909,1419.945,1419.916,1419.867,1419.845,1419.808,1419.893,1419.917,1419.912,1419.915,1419.78,1419.749,1419.706,1419.72,1419.364,1419.316,1419.262,1419.289,1419.088,1419.108,1418.69,1418.624,1418.586,1418.869,1418.531,1418.461,1418.491,1418.227,1418.226,1418.273,1418.148,1417.848,1417.602,1417.592,1417.573,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181,111040,,,,,,,,,,,20,17.24,15.92,15.91,15.91,15.91,15.91,15.91,15.81,15.75,15.73,15.7,15.59,15.13,12.11,11.02,11,10.61,8.53,8.49,6.81,6.76,5.38,4.31,3.48,2.3,1.41,0.33,0,1.58,1.77,1.96,2.47,3.94,4.43,5.18,5.6,6.57,8.85,9.98,11.66,13.5,14.14,14.87,18.27,20,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,1419.947,1419.916,1419.845,1419.924,1419.914,1419.833,1419.883,1419.914,1419.931,1419.864,1419.907,1419.828,1419.849,1419.955,1419.776,1419.653,1419.72,1419.68,1419.297,1419.26,1419.202,1419.27,1419.187,1419.042,1419.01,1418.899,1418.86,1418.768,1419.024,1418.543,1418.543,1418.465,1418.512,1418.48,1418.529,1418.228,1418.233,1418.253,1418.194,1417.984,1417.85,1417.88,1417.854,1417.887,1417.812,1417.607,,,,,,,,,,,,,,,,,,,,,,
182,111056.52,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.9,15.75,11.71,11.38,11.18,10.9,5.11,1.15,0.68,0,0.65,2.73,4.79,6.42,10.33,11.37,14.05,14.62,15.11,17.84,18.46,20,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.902,1419.849,1419.889,1419.753,1419.735,1419.616,1419.531,1419.092,1418.862,1418.836,1419.071,1418.788,1418.606,1418.407,1418.314,1418.297,1418.307,1417.952,1417.967,1418.103,1417.871,1417.959,1417.838,,,,,,,,,,,,,,,,,,,,,,,,,,,
183,111080,,,,,,,,,,,,,,,,,,,20,17.07,15.73,15.68,15.67,15.63,15.36,15.27,15.23,15.19,15.14,11.31,11.27,10.05,8.02,7.98,7.93,4.34,4.31,2.74,0,11.68,11.7,11.93,11.96,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,1419.84,1419.783,1419.843,1419.824,1419.842,1419.852,1419.781,1419.837,1419.795,1419.849,1419.748,1419.629,1419.574,1419.409,1419.17,1419.19,1419.148,1419.034,1419.025,1419.126,1419.183,1418.265,1418.28,1418.219,1418.207,1417.634,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
184,111091.92,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.05,15.77,15.63,14.59,7.91,5.86,4.72,3.86,2.59,2.09,0.59,0,0.35,1.35,5.85,11.21,13.56,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.594,1419.665,1419.615,1419.585,1419.62,1419.087,1418.997,1418.885,1418.992,1418.754,1418.783,1418.649,1418.847,1418.568,1418.527,1418.313,1418.075,1418.003,1417.713,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
185,111100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.89,17.94,15.83,15.61,13.89,2.86,1.2,1.05,0.95,0,4.99,9.32,12.54,18.3,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1419.454,1419.528,1419.511,1419.495,1419.499,1418.639,1418.556,1418.551,1418.617,1418.767,1418.244,1418.066,1417.821,1417.447,1417.299,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
186,111120,,,,,,,,,,,,,,,,,,,,,19.61,16.98,16.03,15.96,15.55,12.31,11.68,11.57,11.46,11.34,11.08,9.2,7.13,6.89,4.26,3.77,3.44,2.85,0,2.19,3.17,6.72,7.96,8.36,8.57,13.18,13.72,14.87,15.21,17.08,17.34,18.85,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1419.301,1419.269,1419.263,1419.284,1419.117,1419.129,1419.01,1419.052,1419.07,1419.05,1419.037,1418.999,1418.605,1418.585,1418.733,1418.622,1418.642,1418.756,1418.738,1418.278,1418.245,1417.984,1417.89,1417.988,1417.982,1417.661,1417.637,1417.538,1417.514,1417.35,1417.38,1417.234,1416.976,,,,,,,,,,,,,,,,,,,,,,,,,
187,111140,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.34,17.7,15.7,15.49,13.85,1.51,0.54,0.42,0,10.11,11.5,16.39,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1418.807,1418.761,1418.864,1418.8,1418.776,1418.035,1417.977,1417.926,1418.146,1417.47,1417.35,1417.106,1416.779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,111151.52,,,,,,,,,,,,,,,,,,,,,,,,,,19.18,18.65,15.54,15.45,14.74,9.37,7.64,6.66,5.03,3.61,3.22,2.69,1.26,0,2.22,2.79,14.04,14.82,15.48,15.49,15.7,16.82,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,1418.519,1418.506,1418.558,1418.57,1418.559,1418.244,1418.215,1418.029,1417.826,1417.802,1417.69,1417.724,1417.697,1417.891,1417.575,1417.579,1417.002,1416.941,1416.914,1416.881,1416.84,1416.95,1416.861,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
189,111160,,,,,,,,,,,,,,,,,,19.06,15.96,15.85,15.43,15.43,15.39,15.15,15.07,15.03,14.95,14.89,12.8,9.91,9.79,8.88,8.76,6.43,6.29,4.9,3.19,3.04,0,2.96,3.09,5.12,5.28,5.35,7.12,7.33,9.49,10.21,11.93,12.38,13.49,13.55,13.85,14.4,14.74,15.28,18.05,20,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,1418.491,1418.447,1418.437,1418.434,1418.482,1418.452,1418.387,1418.384,1418.407,1418.346,1418.346,1418.233,1417.981,1417.969,1417.635,1417.611,1417.768,1417.701,1417.746,1417.88,1417.87,1417.95,1417.475,1417.42,1417.36,1417.419,1417.399,1417.205,1417.2,1417.117,1416.998,1416.907,1416.807,1416.799,1416.749,1416.579,1416.664,1416.654,1416.708,1416.812,1416.613,,,,,,,,,,,,,,,,,,,,
190,111167.22,,,,,,,,,,,,,,,,18.96,16.77,16.76,16.75,15.48,15.46,15.44,14.83,13.15,13.1,13.04,11.19,11.17,8.25,8.24,8.23,4.64,4.63,4.62,4.62,4.21,0.6,0.34,0,0.79,3.57,5.22,5.56,7.4,8.08,8.4,10.03,10.38,11.07,11.66,18.31,19.88,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1418.23,1418.176,1418.146,1418.106,1418.363,1418.348,1418.404,1418.377,1418.061,1418.058,1418.05,1417.681,1417.7,1417.205,1417.233,1417.264,1417.203,1417.123,1417.165,1417.155,1417.144,1417.197,1417.319,1417.61,1417.291,1417.035,1416.899,1416.873,1416.804,1416.975,1417.005,1416.881,1416.886,1416.869,1416.73,1416.434,1416.426,1416.429,,,,,,,,,,,,,,,,,,,,,,,,,
191,111182.41,,,,,,,,,,,,,,,,,,,,,,,,,18.75,17.75,16.26,15.59,15.52,15.46,13.5,12.58,4.35,3.13,3.07,1.65,1.62,1,0,0.2,1.48,7.07,7.7,7.82,7.95,8.08,8.9,12.48,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,1418.212,1418.164,1418.171,1418.307,1418.178,1418.292,1418.173,1418.009,1417.367,1417.281,1417.342,1417.259,1417.238,1417.166,1417.376,1417.099,1417.056,1416.982,1416.785,1416.816,1416.81,1416.823,1416.752,1416.552,1416.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
192,111200,,,,,,,,,,,,,,,,,,,,,18.5,16.03,15.79,15.71,15.6,15.49,12.02,11.95,11.9,10.85,10.78,6.35,4.88,4.59,3.79,2.52,2.47,0.44,0,4.27,5.16,6.08,7.97,15.36,16.23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1418.298,1418.174,1418.139,1418.163,1418.075,1418.164,1417.955,1417.944,1417.999,1417.882,1417.813,1417.245,1417.193,1417.162,1417.135,1416.968,1417.045,1416.866,1417.132,1416.654,1416.447,1416.503,1416.409,1416.091,1416.162,1416.009,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
193,111224.1,,,,,,,,,,,,,,,,,,,,,,20,18.82,18.17,17.3,15.75,15.71,15.56,15.13,12.43,12.29,11.15,9.68,5.98,3.85,3.06,1.45,1,0,2.6,3.87,7.54,9.74,10.1,12.14,12.71,13.12,14.3,17.54,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1418.08,1418.001,1418.056,1417.958,1417.852,1417.797,1418.012,1418.038,1417.774,1417.66,1417.736,1417.668,1417.241,1417.211,1417.391,1417.214,1417.094,1417.273,1416.848,1416.875,1416.372,1416.306,1416.277,1416.17,1416.255,1416.123,1416.012,1415.647,1415.521,,,,,,,,,,,,,,,,,,,,,,,,,,,,
194,111240,,,,,,,,,,,,,,17.95,15.85,15.82,15.81,15.77,15.77,15.77,15.77,15.76,15.74,15.72,15.72,12.26,11.68,8.71,8.54,8.52,6.69,4.72,3.94,3.39,2.94,2.64,2.41,0.01,0,9.98,10.16,10.47,10.5,10.55,11.33,13.07,13.63,14.19,14.3,14.4,15.2,17.65,20,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,1417.727,1417.661,1417.67,1417.622,1417.612,1417.671,1417.641,1417.651,1417.65,1417.667,1417.596,1417.659,1417.525,1417.431,1417.052,1417.089,1417.131,1417.219,1417.109,1417.132,1417.251,1417.359,1417.384,1417.433,1417.181,1417.42,1416.422,1416.479,1416.48,1416.452,1416.413,1416.425,1416.288,1416.259,1416.316,1416.33,1416.343,1416.278,1416.124,1415.865,,,,,,,,,,,,,,,,,,,,,,,,,
195,111255.85,,,,,,,,,,,,,,,,,,,,,,17.73,17.55,15.69,15.38,15.3,15.21,14.51,13.34,12.9,12.65,12.1,11.86,11.81,7.98,5.38,5.29,5.26,0,4.35,7.73,7.81,9.77,12.28,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1417.563,1417.625,1417.54,1417.524,1417.573,1417.5,1417.478,1417.201,1417.163,1417.168,1417.24,1416.602,1416.533,1416.247,1416.197,1416.077,1416.114,1416.059,1415.597,1415.406,1415.464,1415.375,1415.267,1415.005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,111260,,,,,,,,,,,,,,,,,,,,,,20,19.27,17.67,17.2,15.66,15.28,15.18,15.07,14.19,13.47,12.97,12.65,12.62,12.25,12.21,8.89,5.62,0,0.29,8.63,8.77,10.77,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1417.703,1417.651,1417.599,1417.627,1417.554,1417.518,1417.462,1417.438,1417.433,1417.27,1417.221,1417.259,1416.998,1416.549,1416.931,1416.731,1416.321,1416.442,1416.205,1415.931,1415.924,1415.838,1415.293,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
197,111280,,,,,,,,,,,,,,,,,,,,,,,17.39,15.84,15.6,15.55,15.55,15.24,14.23,10.74,10.68,9.35,8.73,8.67,6.01,3.55,2.94,2.33,0,7.39,9.66,9.66,10.23,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1417.53,1417.475,1417.497,1417.435,1417.475,1417.447,1417.461,1417.352,1417.308,1417.174,1416.978,1417.043,1416.732,1416.561,1416.696,1416.884,1417.009,1416.316,1416.228,1416.225,1416.169,1415.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,111288.83,,,,,,,,,,,,,,,,,,,,,,,,,,,17.27,16.15,15.42,15.39,11.15,10.42,8.26,6.23,4.73,3.78,3.24,2.77,0,2.06,3.27,9.9,11.28,11.29,18.21,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1417.46,1417.464,1417.483,1417.46,1417.31,1417.339,1417.123,1416.887,1416.976,1416.9,1416.75,1416.662,1416.738,1416.351,1416.282,1416.062,1415.979,1415.984,1415.816,1415.682,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199,111314.05,,,,,,,,,,,,,,,,,,,,,16.92,16.03,15.01,14.95,13.91,11.43,11.36,10.32,9.7,9.6,9.49,6.21,6.07,5.44,4.23,2.86,2.11,1.2,0,0.53,1.27,2.53,3.14,4.14,6,8.21,10.14,11.54,13.41,13.82,15.57,16.35,17.51,20,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1417.323,1417.331,1417.339,1417.26,1417.283,1417.129,1417.217,1417.131,1416.776,1416.779,1416.816,1416.675,1416.577,1416.54,1416.548,1416.507,1416.483,1416.511,1416.586,1416.337,1416.34,1416.108,1416.06,1416.002,1415.988,1415.868,1415.803,1415.616,1415.522,1415.505,1415.426,1415.593,1415.554,1415.386,,,,,,,,,,,,,,,,,,,,,,,,
200,111320,,,,,,,,,,,,,,,,16.84,16.56,15.24,14.93,14.85,14.84,14.76,14.56,14.24,9.25,9.18,8.67,8.14,7.89,7.13,3.79,3.78,3.76,2.13,1.21,1.06,0.92,0.53,0,2.81,2.95,3.48,5.71,8.04,8.32,9.61,14.47,18,19.62,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,1417.258,1417.171,1417.318,1417.251,1417.33,1417.249,1417.257,1417.289,1417.234,1417.056,1416.995,1416.952,1416.917,1416.913,1416.773,1416.662,1416.682,1416.67,1416.623,1416.522,1416.546,1416.512,1416.552,1416.759,1416.256,1416.223,1416.112,1415.951,1415.869,1416.01,1415.885,1415.615,1415.495,1415.536,1415.462,,,,,,,,,,,,,,,,,,,,,,,,,,,,
201,111337.71,,,,,,,,,,,,,,,,,,,,,16.59,15.26,15.05,15,14.99,14.98,14.98,14.97,14.83,14.82,14.8,12.39,10.73,10.5,10.02,9.3,5.85,1.5,0,5.58,5.88,6.31,6.39,7.11,14.03,17.24,19.03,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,1417.106,1417.04,1417.025,1416.962,1416.964,1417.004,1417.019,1416.971,1417.009,1417.01,1417.024,1416.833,1416.781,1416.785,1416.708,1416.535,1416.537,1416.453,1416.567,1415.952,1415.917,1415.875,1415.912,1415.911,1415.402,1415.213,1415.189,1415.077,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
202,111360,,,,,,,,,,,,,,,,,,16.28,16.19,15.28,15.09,15.02,14.98,14.97,14.94,14.83,14.8,14.75,14.75,14.58,11.7,8.73,8.72,7.22,7.21,6.87,4.26,2.69,0,4.21,4.66,4.77,14.12,14.14,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
