No,Distance,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,L,CL,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,R,end
32,108303.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,18.53,13.72,13.68,13.67,13.57,13.3,4.91,4.68,4.23,0,0.9,5.95,10.28,13.35,15.15,16.03,17.65,18.35,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455.519,1455.508,1455.421,1455.359,1455.391,1455.386,1455.37,1454.826,1454.887,1454.805,1454.647,1454.312,1454.45,1454.383,1454.361,1454.288,1454.151,1454.069,1453.95,1453.895,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,108320,,,,,,,,,,,,,,,,,,,,,,,,,,,20,17.88,15.77,15.46,13.98,9.01,7.61,5.35,5.29,3.8,2.79,2.79,0,3.61,3.62,3.85,10.96,10.97,10.98,11,14.05,15.52,15.72,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,1455.204,1455.08,1455.399,1455.374,1455.028,1454.889,1455.607,1455.288,1455.323,1454.929,1454.166,1454.164,1454.397,1454.407,1454.347,1454.325,1454.294,1454.282,1454.311,1454.321,1454.076,1453.867,1453.862,1453.798,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,108360,,,,,,,,,,,,,,,,,,,,,,,20,16.08,15.83,14.9,12.98,12.92,12.82,8.25,6.36,6.35,5.57,5.56,2.73,2.71,2.7,2.68,0,0.27,4.98,5.02,7.58,8,8.01,10.09,13.04,13.17,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,1454.811,1454.89,1454.889,1455.015,1455.81,1455.819,1455.807,1453.587,1453.719,1453.704,1453.802,1453.843,1454.169,1454.079,1454.1,1454.111,1454.436,1454.208,1454.15,1454.15,1453.962,1453.91,1453.85,1453.431,1453.43,1453.438,1453.282,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,108378.2,,,,,,,,,,,,,,,,,,,,,,20,19.42,17.54,17.53,17.52,16.89,15.88,13.84,13.76,13.73,13.7,13.62,10.52,6.01,5.2,3.76,3.53,0,2.45,2.73,4.08,5.43,7.06,10.61,11.73,13.33,17.81,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,1454.965,1454.928,1455.029,1455.07,1455.08,1454.914,1454.703,1454.066,1454.02,1453.974,1454.006,1454.002,1453.947,1453.878,1453.975,1453.963,1453.981,1454.214,1454.019,1453.978,1453.794,1453.604,1453.405,1453.301,1453.075,1453.059,1453.088,1453.028,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
36,108393.06,,,,,,,,,,,,,,,,,,,,,,,,20,18.59,17.73,17.39,17.11,15.12,15.07,14.01,13.19,11.06,10.11,8.73,7.25,4.63,4.2,0,0.35,0.87,3.33,5.8,6.29,12.73,13.07,13.56,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1454.088,1454.333,1454.311,1454.389,1454.44,1453.695,1453.741,1453.804,1453.926,1453.773,1453.72,1453.722,1453.751,1453.772,1453.844,1454.071,1453.793,1453.709,1453.475,1453.084,1453.076,1452.882,1452.806,1452.794,1452.696,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,108396.5,,,,,,,,,,,,,,,,,,,,20,19.68,18.94,18.67,17.85,17.37,16.14,16.03,14.71,13.74,13.33,13.07,12.8,10.46,10.01,9.36,7.73,4.83,4.36,0,0.44,3.15,5.88,6.11,13.22,13.38,13.62,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1455.356,1455.489,1455.863,1455.673,1455.912,1455.805,1455.623,1455.567,1454.763,1454.246,1454.075,1453.881,1453.892,1453.678,1453.732,1453.673,1453.757,1453.693,1453.78,1454.012,1453.632,1453.373,1452.97,1452.938,1452.759,1452.757,1452.716,1452.689,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,108400,,,,,,,,,,,,,,,,,,,,20,19.89,19.64,19.62,16.97,16.91,16.85,15.52,14.63,14.6,14.56,13.73,10.43,9.97,8.21,5.06,5.03,4.51,0.63,0,0.32,2.71,2.88,5.88,13.55,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,1455.717,1455.594,1455.422,1455.481,1454.506,1454.499,1454.407,1454.147,1453.798,1453.792,1453.716,1453.715,1453.692,1453.685,1453.763,1453.663,1453.663,1453.765,1453.78,1453.885,1453.673,1453.427,1453.51,1452.902,1452.656,1452.651,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
39,108440,,,,,,,,,,,,,,,,,,,,,,,,20,19.56,16.74,16.73,13.86,13.81,13.8,13.76,13.74,13.72,6.33,6.33,6.28,6.28,2.43,0,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,1453.043,1452.921,1453.204,1453.162,1453.327,1453.361,1453.394,1453.294,1453.305,1453.364,1453.338,1453.318,1453.358,1453.337,1453.062,1453.198,1452.218,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
