Station Offset to Points Report,,,,
,,,,
Client:,Prepared by:,,,
Client,Preparer,,,
Client Company,Your Company Name,,,
Address 1,123 Main Street,,,
Date: 7/6/2024 8:45:25 AM,,,,
,,,,
,,,,
Alignment Name: massir asli d10,,,,
Description:,,,,
"Station Range: Start: 0+000.00, End: 21+556.62",,,,
,,,,
Point,Station,Offset,Elevation,Description
513,20+019.98,-9.572m,"1,263.867m",
514,20+019.98,-8.473m,"1,263.874m",
515,20+020.03,-8.276m,"1,263.890m",
516,20+020.17,-6.496m,"1,263.913m",
517,20+020.03,-5.276m,"1,263.994m",
518,20+020.02,-3.751m,"1,263.927m",
519,20+020.04,-2.573m,"1,263.910m",
520,20+020.03,-1.217m,"1,263.294m",
521,20+020.07,-0.297m,"1,263.154m",
522,20+019.96,0.004m,"1,263.142m",
523,20+019.85,0.855m,"1,262.863m",
524,20+019.90,1.647m,"1,262.806m",
525,20+019.82,2.151m,"1,262.792m",
526,20+019.90,3.044m,"1,263.249m",
527,20+019.94,3.999m,"1,263.377m",
528,20+019.92,5.132m,"1,263.762m",
529,20+019.96,6.465m,"1,264.206m",
530,20+020.01,7.420m,"1,264.521m",
531,20+020.07,8.854m,"1,264.108m",
532,20+019.91,11.260m,"1,263.365m",
533,20+020.01,13.221m,"1,263.400m",
534,20+020.01,14.832m,"1,263.349m",
535,20+000.06,-15.045m,"1,262.730m",
536,20+000.08,-12.563m,"1,262.778m",
537,20+000.04,-10.122m,"1,262.880m",
538,20+000.09,-9.023m,"1,263.078m",
539,20+000.05,-7.904m,"1,262.665m",
540,19+999.97,-7.253m,"1,262.308m",
541,19+999.87,-5.646m,"1,262.039m",
542,19+999.97,-5.137m,"1,261.962m",
543,19+999.99,-4.242m,"1,261.886m",
544,19+999.96,-3.601m,"1,261.875m",
545,20+000.03,-1.923m,"1,262.347m",
546,19+999.97,-1.170m,"1,262.417m",
547,20+000.01,0.013m,"1,262.501m",
548,20+000.01,0.730m,"1,262.527m",
549,20+000.05,1.594m,"1,262.554m",
550,20+000.09,3.043m,"1,262.473m",
551,20+000.05,3.675m,"1,262.338m",
